iter	MAE
0	5103394.578
1	4987860.692
2	4877255.459
3	4767026.207
4	4664934.984
5	4562293.068
6	4465346.747
7	4366579.827
8	4274204.727
9	4179367.71
10	4093169.054
11	4012454.6
12	3932059.14
13	3853236.565
14	3782083.585
15	3709517.454
16	3640713.005
17	3573207.492
18	3508547.196
19	3448551.531
20	3384936.941
21	3324322.106
22	3267613.473
23	3215530.859
24	3162121.961
25	3109776.28
26	3059783.575
27	3016308.558
28	2971337.512
29	2926585.209
30	2883027.724
31	2843761.16
32	2806016.087
33	2766617.993
34	2731456.664
35	2694296.253
36	2659364.802
37	2627566.641
38	2595919.762
39	2564309.616
40	2534202.334
41	2505379.317
42	2479544.673
43	2452360.168
44	2427888.265
45	2404451.768
46	2381137.539
47	2360647.085
48	2342020.094
49	2322620.082
50	2304778.467
51	2285463.585
52	2268419.855
53	2250028.467
54	2234421.48
55	2219102.531
56	2203852.739
57	2189633.033
58	2174922.277
59	2159249.728
60	2145649.46
61	2134005.83
62	2120577.181
63	2109848.504
64	2096231.96
65	2083844.757
66	2072081.527
67	2061230.467
68	2050627.939
69	2040732.822
70	2032854.277
71	2025364.337
72	2016733.11
73	2008483.439
74	2000314.299
75	1992036.889
76	1985081.527
77	1976917.978
78	1970791.568
79	1964227.984
80	1957064.387
81	1950587.612
82	1944216.384
83	1937909.776
84	1933642.493
85	1928047.453
86	1922547.66
87	1917057.223
88	1911531.86
89	1906067.337
90	1901843.804
91	1897624.688
92	1893024.087
93	1888023.659
94	1881820.596
95	1877572.009
96	1873256.869
97	1869307.691
98	1865872.572
99	1862776.384
100	1858003.145
101	1854778.68
102	1849996.711
103	1846318.588
104	1841027.767
105	1837363.189
106	1835094.993
107	1831147.23
108	1828110.138
109	1825075.235
110	1822919.389
111	1819771.912
112	1816604.685
113	1813354.22
114	1809801.983
115	1807185.713
116	1803425.556
117	1800987.152
118	1798219.545
119	1795599.69
120	1792829.008
121	1789206.634
122	1786477.108
123	1782804.264
124	1779206.92
125	1776584.742
126	1773849.19
127	1771449.462
128	1769042.976
129	1767133.928
130	1765361.204
131	1763420.343
132	1763023.051
133	1760778.796
134	1758168.63
135	1756314.299
136	1754295.905
137	1752686.448
138	1751154.952
139	1749116.219
140	1746906.474
141	1745223.77
142	1742491.621
143	1739265.715
144	1737901.646
145	1734520.774
146	1730547.129
147	1728921.348
148	1727894.119
149	1725071.549
150	1723157.411
151	1721650.874
152	1720382.354
153	1719116.049
154	1717197.156
155	1715575.521
156	1713761.564
157	1712111.704
158	1709419.566
159	1707199.569
160	1706203.487
161	1705017.899
162	1703924.108
163	1702581.748
164	1701031.33
165	1699954
166	1698723.491
167	1697419.954
168	1695488.007
169	1694325.2
170	1693099.909
171	1691553.166
172	1690032.907
173	1688893.35
174	1687957.372
175	1686413.495
176	1685249.218
177	1683674.654
178	1682022.291
179	1680651.302
180	1678685.097
181	1677493.895
182	1676976.694
183	1675626.455
184	1674927.143
185	1673724.644
186	1672238.367
187	1671272.895
188	1670732.319
189	1669243.875
190	1668273.38
191	1666711.797
192	1665073.903
193	1664183.709
194	1663794.164
195	1663199.821
196	1662832.41
197	1662324.027
198	1660014.557
199	1658566.45
200	1657909.107
201	1656087.551
202	1654901.424
203	1653922.591
204	1652695.658
205	1651617.749
206	1650762.668
207	1649584.087
208	1648631.453
209	1647287.277
210	1646224.971
211	1645878.136
212	1644590.277
213	1643165.276
214	1642116.537
215	1640692.093
216	1639730.982
217	1637778.843
218	1636976.791
219	1635907.775
220	1635353.824
221	1634764.344
222	1634345.746
223	1633838.645
224	1633171.047
225	1632631.284
226	1631856.459
227	1630465.181
228	1629867.041
229	1628751.721
230	1627596.723
231	1626777.956
232	1626119.598
233	1625483.062
234	1624297.038
235	1623722.362
236	1622837.839
237	1621698.677
238	1620725.983
239	1619653.437
240	1618940.533
241	1618337.596
242	1617465.64
243	1616208.417
244	1614823.979
245	1614351.739
246	1613529.129
247	1612072.007
248	1610922.916
249	1610117.553
250	1609525.102
251	1608080.21
252	1606825.953
253	1605873.454
254	1605157.201
255	1604118.94
256	1602890.093
257	1601801.3
258	1600939.36
259	1600370.232
260	1599864.049
261	1598830.708
262	1598809.053
263	1597877.81
264	1597154.163
265	1596597.061
266	1595511.865
267	1594894.703
268	1594379.02
269	1593592.886
270	1592829.371
271	1592437.411
272	1591842.59
273	1591253.554
274	1590330.543
275	1589432.282
276	1588498.804
277	1587739.613
278	1587260.134
279	1586930.593
280	1586491.887
281	1585725.969
282	1584539.959
283	1583956.69
284	1582699.653
285	1582087.482
286	1582079.58
287	1581289.655
288	1579988.163
289	1579451.144
290	1578226.873
291	1577362.252
292	1576378.992
293	1575783.115
294	1575142.656
295	1574758.216
296	1573722.183
297	1572803.488
298	1572111.174
299	1570867.237
300	1570235.678
301	1570048.872
302	1568915.553
303	1568157.161
304	1566774.217
305	1566068.362
306	1565669.962
307	1565222.185
308	1564418.413
309	1563492.285
310	1562725.089
311	1562034.631
312	1561294.571
313	1560744.546
314	1560305.145
315	1559691.367
316	1559100.014
317	1558551.041
318	1557907.503
319	1557443.154
320	1557143.983
321	1555446.492
322	1554599.781
323	1554003.785
324	1553793.131
325	1552941.126
326	1551984.84
327	1550437.611
328	1549447.602
329	1549056.969
330	1548126.093
331	1547452.501
332	1546716.7
333	1545903.145
334	1545547.424
335	1545091.259
336	1544369.037
337	1543810.395
338	1543390.843
339	1543060.057
340	1542679.153
341	1542135.806
342	1541471.906
343	1540873.91
344	1540454.584
345	1539533.862
346	1539268.897
347	1538674.146
348	1538376.458
349	1537515.916
350	1536908.578
351	1536236.526
352	1535764.667
353	1535064.588
354	1534504.278
355	1533778.585
356	1532913.019
357	1532619.062
358	1531759.123
359	1531115.604
360	1530797.839
361	1530384.627
362	1529140.963
363	1528454.961
364	1527779.213
365	1527208.328
366	1526594.973
367	1526075.559
368	1525326.798
369	1524867.208
370	1523892.272
371	1523490.475
372	1522801.114
373	1522162.417
374	1521819.447
375	1521433.596
376	1521123.984
377	1520536.22
378	1519766.666
379	1519337.956
380	1518324.511
381	1517441.765
382	1516810.105
383	1516329.686
384	1515882.959
385	1515593.382
386	1515187.015
387	1514428.298
388	1513632.501
389	1513350.82
390	1512920.884
391	1512163.49
392	1511485.655
393	1510933.66
394	1510420.638
395	1509366.66
396	1508958.034
397	1508296.306
398	1507964.782
399	1506884.234
400	1506536.93
401	1506100.838
402	1505716.834
403	1505481.729
404	1504937.299
405	1504004.462
406	1503758.555
407	1503501.29
408	1503102.829
409	1502179.229
410	1501142.739
411	1500752.556
412	1499831.979
413	1499001.495
414	1497955.866
415	1497403.617
416	1496970.957
417	1496411.942
418	1495810.49
419	1494787.479
420	1494457.33
421	1494039.996
422	1493553.039
423	1493182.499
424	1492477.225
425	1492022.648
426	1491511.969
427	1491111.452
428	1490537.187
429	1490108.9
430	1489340.855
431	1488900.106
432	1487694.747
433	1487208.355
434	1486614.109
435	1486319.572
436	1486107.695
437	1485511.911
438	1484708.715
439	1484238.35
440	1483217.763
441	1482291.965
442	1481611.053
443	1480783.444
444	1479860.994
445	1479448.517
446	1478876.926
447	1478117.854
448	1477104.825
449	1476515.127
450	1476235.001
451	1475785.583
452	1475230.396
453	1474573.6
454	1473665.601
455	1473220.647
456	1472840.314
457	1472249.598
458	1471579.488
459	1471121.317
460	1470878.593
461	1470417.334
462	1469916.125
463	1469323.508
464	1468844.671
465	1468425.897
466	1468029.436
467	1467407.833
468	1467113.187
469	1466626.844
470	1466383.316
471	1465623.072
472	1465300.275
473	1464747.122
474	1464088.997
475	1463642.032
476	1462817.635
477	1462213.688
478	1461563.251
479	1461251.062
480	1460741.974
481	1459621.669
482	1459324.367
483	1458941.464
484	1458482.931
485	1458268.49
486	1457658.101
487	1457043.134
488	1456261.277
489	1455295.355
490	1455005.466
491	1454558.002
492	1453998.073
493	1453674.031
494	1453234.288
495	1452693.613
496	1452308.603
497	1451642.094
498	1451327.264
499	1450762.901
500	1450547.676
501	1449715.462
502	1449326.061
503	1448711.036
504	1448142.098
505	1446872.567
506	1446531.852
507	1446139.152
508	1445108.086
509	1444352.789
510	1444149.493
511	1443854.526
512	1443555.844
513	1443115.784
514	1442696.202
515	1441962.482
516	1441510.901
517	1440527.626
518	1440264.071
519	1439782.745
520	1439607.089
521	1438992.986
522	1438650.803
523	1438237.604
524	1438010.704
525	1437729.132
526	1437191.479
527	1437016.179
528	1436790.382
529	1436197.984
530	1435692.881
531	1435467.956
532	1435203.917
533	1434962.612
534	1434622.411
535	1434138.442
536	1433359.771
537	1433169.829
538	1432809.231
539	1432352.89
540	1431939.205
541	1431672.845
542	1431076.633
543	1430413.94
544	1430237.318
545	1429568.109
546	1429278.2
547	1429094.459
548	1428738.654
549	1428433.737
550	1428078.34
551	1427409.985
552	1427008.046
553	1426571.826
554	1426084.161
555	1425299.636
556	1425046.17
557	1424622.442
558	1424377.565
559	1424134.803
560	1423829.521
561	1423468.502
562	1423169.071
563	1422759.876
564	1422491.561
565	1422203.43
566	1421748.821
567	1421066.258
568	1420721.636
569	1420279.883
570	1419788.935
571	1419646.448
572	1419033.572
573	1418295.599
574	1417873.743
575	1417293.825
576	1416880.246
577	1416642.136
578	1415978.125
579	1415627.429
580	1415149.391
581	1414946.931
582	1414112.007
583	1413735.982
584	1413488.369
585	1413250.898
586	1412781.108
587	1412574.66
588	1411906.451
589	1411660.696
590	1411092.824
591	1410819.635
592	1410615.694
593	1410324.207
594	1410087.764
595	1409738.739
596	1409100.679
597	1408678.675
598	1407902.293
599	1407316.43
600	1406801.167
601	1406051.089
602	1405436.104
603	1405081.402
604	1404433.626
605	1403849.428
606	1403624.936
607	1403480.928
608	1402893.218
609	1402667.052
610	1402413.802
611	1401904.801
612	1401536.621
613	1401454.667
614	1401139.148
615	1400916.367
616	1400592.516
617	1400232.899
618	1399805.362
619	1399171.867
620	1398485.386
621	1398033.542
622	1397607.637
623	1397456.76
624	1397133.385
625	1396841.011
626	1396391.526
627	1396050.56
628	1395568.626
629	1395005.954
630	1393947.356
631	1393713.854
632	1393112.416
633	1392807.279
634	1392326.048
635	1391949.497
636	1391521.378
637	1390737.711
638	1390021.717
639	1389749.124
640	1389347.609
641	1388989.103
642	1388822.547
643	1388054.905
644	1387729.03
645	1387324.497
646	1386981.625
647	1386298.393
648	1385680.793
649	1385350.868
650	1384650.454
651	1384141.036
652	1383673.535
653	1383353.316
654	1383244.053
655	1382674.744
656	1382198.752
657	1381462.539
658	1381148.81
659	1380742.368
660	1380455.49
661	1380050.358
662	1379367.058
663	1378941.804
664	1378755.549
665	1378169.914
666	1377661.498
667	1377273.683
668	1376920.752
669	1376502.855
670	1376224.094
671	1375907.922
672	1375394.526
673	1374981.968
674	1374413.943
675	1374281.63
676	1373667.453
677	1373039.712
678	1372820.39
679	1372650.397
680	1372462.099
681	1372187.454
682	1371487.051
683	1371230.805
684	1370740.193
685	1370274.039
686	1369710.421
687	1369494.665
688	1369153.614
689	1368523.34
690	1368266.377
691	1367365.698
692	1367160.294
693	1367004.721
694	1366675.84
695	1366254.279
696	1365401.411
697	1365094.818
698	1364675.889
699	1364340.674
700	1364188.873
701	1363784.599
702	1363404.699
703	1363173.051
704	1362828.783
705	1362439.825
706	1362172.036
707	1361809.02
708	1361401.584
709	1361019.743
710	1360750.682
711	1360527.302
712	1360355.224
713	1360081.397
714	1359701.533
715	1359460.182
716	1359172.027
717	1358880.642
718	1358508.504
719	1358071.219
720	1357860.741
721	1357071.397
722	1356797.285
