iter	Passed	Remaining
0	57	85626
1	61	46143
2	70	35069
3	76	28589
4	82	24612
5	87	21768
6	91	19612
7	97	18129
8	100	16672
9	105	15707
10	108	14748
11	112	13950
12	115	13259
13	120	12744
14	122	12165
15	126	11710
16	129	11328
17	133	10968
18	136	10654
19	140	10374
20	143	10118
21	146	9834
22	150	9676
23	154	9479
24	157	9297
25	161	9135
26	164	8982
27	168	8852
28	171	8708
29	176	8664
30	180	8562
31	187	8593
32	192	8544
33	195	8446
34	199	8342
35	205	8356
36	208	8260
37	212	8161
38	219	8228
39	223	8155
40	226	8047
41	230	7990
42	235	7983
43	246	8152
44	257	8311
45	263	8341
46	271	8388
47	282	8539
48	288	8543
49	292	8469
50	297	8452
51	301	8395
52	304	8314
53	307	8244
54	314	8258
55	319	8226
56	322	8164
57	327	8136
58	332	8131
59	336	8076
60	340	8031
61	346	8032
62	351	8009
63	354	7958
64	357	7903
65	364	7919
66	367	7855
67	370	7809
68	373	7745
69	378	7741
70	382	7702
71	386	7662
72	391	7649
73	396	7647
74	400	7602
75	404	7574
76	410	7591
77	414	7561
78	417	7515
79	420	7462
80	426	7473
81	429	7429
82	433	7394
83	436	7351
84	442	7373
85	447	7353
86	452	7341
87	458	7361
88	464	7362
89	469	7347
90	480	7437
91	484	7421
92	492	7451
93	496	7421
94	499	7388
95	503	7369
96	508	7361
97	512	7330
98	515	7293
99	520	7281
100	525	7283
101	529	7256
102	532	7224
103	539	7237
104	543	7225
105	547	7200
106	554	7214
107	557	7190
108	561	7163
109	564	7137
110	572	7166
111	576	7141
112	579	7112
113	584	7104
114	589	7098
115	592	7073
116	596	7046
117	600	7027
118	604	7016
119	607	6983
120	609	6950
121	612	6918
122	616	6896
123	619	6874
124	622	6850
125	626	6827
126	629	6805
127	633	6786
128	636	6762
129	639	6742
130	643	6721
131	648	6717
132	654	6724
133	658	6716
134	664	6717
135	672	6742
136	676	6731
137	680	6713
138	683	6695
139	687	6681
140	691	6661
141	695	6647
142	698	6630
143	702	6611
144	705	6593
145	709	6576
146	711	6552
147	714	6526
148	717	6507
149	721	6491
150	724	6473
151	728	6456
152	731	6440
153	734	6422
154	740	6421
155	744	6416
156	749	6411
157	754	6406
158	757	6391
159	761	6374
160	765	6364
161	768	6347
162	771	6331
163	775	6315
164	778	6300
165	781	6283
166	785	6268
167	788	6253
168	791	6233
169	795	6220
170	797	6200
171	801	6185
172	804	6172
173	807	6157
174	811	6142
175	813	6122
176	816	6106
177	819	6085
178	822	6067
179	825	6051
180	827	6033
181	831	6020
182	834	6005
183	836	5986
184	845	6007
185	851	6012
186	856	6010
187	865	6039
188	869	6031
189	874	6030
190	878	6020
191	882	6008
192	889	6025
193	899	6056
194	906	6069
195	910	6060
196	914	6047
197	921	6059
198	928	6066
199	930	6049
200	938	6065
201	941	6049
202	946	6048
203	951	6041
204	954	6029
205	957	6016
206	961	6002
207	965	5996
208	968	5983
209	975	5994
210	981	5998
211	986	5996
212	990	5987
213	993	5972
214	998	5965
215	1001	5951
216	1004	5939
217	1009	5937
218	1014	5935
219	1018	5927
220	1023	5925
221	1029	5924
222	1033	5920
223	1037	5912
224	1042	5909
225	1048	5910
226	1053	5908
227	1058	5903
228	1063	5901
229	1071	5918
230	1076	5911
231	1082	5914
232	1085	5901
233	1087	5885
234	1091	5873
235	1094	5864
236	1097	5849
237	1100	5837
238	1104	5827
239	1107	5816
240	1111	5808
241	1116	5804
242	1120	5794
243	1123	5783
244	1128	5781
245	1132	5771
246	1135	5759
247	1138	5748
248	1143	5747
249	1148	5740
250	1151	5728
251	1154	5717
252	1157	5706
253	1161	5696
254	1164	5685
255	1168	5676
256	1170	5663
257	1174	5651
258	1177	5641
259	1180	5631
260	1183	5620
261	1187	5610
262	1190	5600
263	1193	5589
264	1197	5579
265	1200	5569
266	1203	5559
267	1206	5546
268	1210	5537
269	1213	5528
270	1217	5522
271	1221	5513
272	1224	5505
273	1228	5495
274	1234	5499
275	1239	5496
276	1245	5497
277	1250	5495
278	1254	5491
279	1266	5518
280	1272	5520
281	1277	5516
282	1281	5509
283	1285	5503
284	1289	5496
285	1293	5491
286	1297	5485
287	1300	5473
288	1303	5463
289	1307	5454
290	1310	5444
291	1314	5438
292	1317	5429
293	1321	5420
294	1324	5408
295	1327	5399
296	1331	5391
297	1334	5381
298	1336	5369
299	1340	5361
300	1343	5352
301	1347	5343
302	1350	5335
303	1353	5326
304	1357	5317
305	1359	5306
306	1363	5296
307	1365	5285
308	1368	5274
309	1372	5269
310	1376	5260
311	1378	5249
312	1381	5238
313	1384	5229
314	1387	5218
315	1390	5209
316	1393	5201
317	1397	5192
318	1400	5183
319	1403	5176
320	1407	5168
321	1409	5157
322	1413	5149
323	1415	5138
324	1418	5129
325	1422	5121
326	1425	5113
327	1434	5124
328	1440	5125
329	1445	5125
330	1450	5122
331	1455	5120
332	1461	5120
333	1465	5117
334	1469	5110
335	1472	5101
336	1480	5109
337	1486	5111
338	1491	5108
339	1495	5103
340	1499	5096
341	1502	5085
342	1505	5078
343	1508	5070
344	1512	5062
345	1514	5052
346	1518	5044
347	1521	5036
348	1524	5029
349	1528	5021
350	1531	5014
351	1535	5006
352	1538	4998
353	1541	4990
354	1544	4983
355	1548	4974
356	1551	4967
357	1554	4957
358	1557	4949
359	1560	4940
360	1563	4934
361	1567	4929
362	1571	4922
363	1574	4914
364	1577	4906
365	1581	4899
366	1584	4892
367	1587	4884
368	1591	4877
369	1594	4869
370	1602	4875
371	1608	4877
372	1613	4875
373	1616	4865
374	1619	4858
375	1622	4851
376	1625	4842
377	1631	4841
378	1636	4839
379	1640	4835
380	1645	4832
381	1652	4835
382	1656	4831
383	1666	4843
384	1669	4836
385	1673	4831
386	1677	4824
387	1680	4816
388	1684	4812
389	1688	4806
390	1692	4799
391	1695	4793
392	1701	4793
393	1705	4786
394	1708	4780
395	1711	4772
396	1718	4773
397	1723	4771
398	1727	4766
399	1731	4760
400	1734	4753
