wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,distance,azimuth
brick,1,5.0,18.0,3.0,55.723379,37.628577,5600000,3311.0,166.0
brick,1,5.0,15.0,3.0,55.72598000000001,37.671031,4650000,4544.0,130.0
brick,1,5.0,11.9,1.5,55.735976,37.657817,2990000,3208.0,124.0
brick,1,7.0,18.4,3.0,55.786698,37.59532100000001,4390000,4046.0,342.0
brick,2,5.0,17.6,2.0,55.76789399999999,37.66592,4890000,3610.0,61.0
brick,5,9.0,21.5,3.0,55.784066,37.637425,8050000,3803.0,21.0
brick,5,9.0,21.5,3.0,55.784066,37.637425,8050000,3803.0,21.0
monolithBrick,1,3.0,29.0,6.0,55.76324,37.651825,15895000,2585.0,62.0
brick,5,8.0,28.8,6.5,55.776472,37.598869,10500000,2899.0,339.0
brick,1,5.0,25.2,2.0,55.735976,37.657817,4850000,3208.0,124.0
monolithBrick,5,9.0,29.0,7.0,55.775545,37.672118,8450000,4398.0,54.0
brick,2,9.0,29.5,5.8,55.777869,37.706712,8449999,6393.0,63.0
brick,5,8.0,28.8,7.0,55.776472,37.598869,10500000,2899.0,339.0
monolithBrick,12,30.0,30.0,10.0,55.75461800000001,37.524058,9500000,5754.0,273.0
brick,4,5.0,32.6,5.0,55.73478000000001,37.65390900000001,8000000,3090.0,129.0
brick,3,5.0,30.0,6.0,55.76716500000001,37.658356,9500000,3159.0,58.0
panel,9,12.0,31.0,7.2,55.731642,37.565614,11500000,3885.0,234.0
block,2,9.0,31.0,6.0,55.73334000000001,37.662497,9900000,3617.0,126.0
brick,8,8.0,31.0,6.9,55.726046,37.581487,10800000,3615.0,216.0
brick,3,8.0,30.7,5.0,55.78908199999999,37.627795,8300000,4177.0,11.0
brick,7,9.0,32.0,5.8,55.791223,37.631532,8500000,4458.0,13.0
brick,2,5.0,30.3,5.4,55.783787,37.674741,8900000,5113.0,46.0
brick,8,8.0,32.0,7.0,55.726046,37.581487,10800000,3615.0,216.0
brick,3,6.0,32.3,6.0,55.73724300000001,37.641737,11000000,2338.0,135.0
brick,3,10.0,31.2,7.0,55.775894,37.595564,11500000,2923.0,335.0
brick,3,10.0,31.2,7.0,55.775894,37.595564,11500000,2923.0,335.0
brick,3,10.0,31.2,7.0,55.775894,37.595564,11500000,2923.0,335.0
brick,5,5.0,31.0,6.0,55.75677099999999,37.520734,8000000,5978.0,275.0
brick,2,5.0,30.0,6.0,55.76254100000001,37.67272,8500000,3766.0,72.0
brick,3,5.0,31.0,5.0,55.781565,37.591728,9000000,3596.0,335.0
brick,3,9.0,32.8,9.1,55.736757,37.658491,10500000,3196.0,123.0
brick,2,5.0,32.0,6.0,55.72985799999999,37.591288,10850000,2919.0,212.0
monolith,2,9.0,31.0,6.0,55.723491,37.611329,11000000,3208.0,185.0
brick,4,8.0,31.6,5.0,55.77356999999999,37.62952,14500000,2535.0,20.0
brick,8,9.0,34.5,6.5,55.78336700000001,37.587173,9600000,3902.0,333.0
monolith,5,9.0,33.0,5.6,55.774811,37.678559,8880000,4686.0,57.0
brick,5,8.0,33.4,10.0,55.747323,37.66203,9500000,2966.0,101.0
block,1,12.0,34.7,10.0,55.771818,37.705185,6900000,6033.0,69.0
panel,4,9.0,33.2,7.7,55.782856,37.59232100000001,9400000,3713.0,337.0
block,10,12.0,34.8,10.2,55.744784,37.680472,9500000,4157.0,101.0
brick,4,6.0,33.5,6.7,55.754583,37.594674,16500000,1340.0,281.0
monolith,5,9.0,33.0,6.0,55.774811,37.678559,8900000,4686.0,57.0
block,6,9.0,33.0,6.0,55.72164,37.606658,9999999,3449.0,189.0
panel,8,16.0,34.0,9.4,55.776006,37.646274,10500000,3276.0,36.0
panel,14,24.0,33.0,9.0,55.753154,37.594036,11000000,1358.0,274.0
brick,4,9.0,33.0,6.0,55.743634,37.640488,11500000,1831.0,121.0
monolith,11,12.0,37.74,7.0,55.770811,37.591189,16600000,2577.0,324.0
block,2,14.0,36.0,8.0,55.734151,37.61892,12000000,2020.0,174.0
block,10,14.0,35.0,10.0,55.78038000000001,37.64524,10700000,3648.0,31.0
brick,3,8.0,36.1,8.5,55.767722,37.565973,11000000,3563.0,299.0
block,9,12.0,36.0,10.0,55.764197,37.565245,11100000,3432.0,293.0
monolith,10,12.0,37.45,10.0,55.770811,37.591189,16600000,2577.0,324.0
brick,1,9.0,36.9,7.8,55.761872,37.562676,9000000,3493.0,288.0
block,3,5.0,35.3,6.7,55.74225500000001,37.662991,9200000,3175.0,110.0
