price,bedrooms,bathrooms,living_square,total_square,floors,view,condition,yr_built,yr_renovated
16118816.0,3,1.0,12688.172043010753,60752.68817204301,1.0,0,3,59,59
39080320.0,3,2.25,27634.40860215054,77870.96774193548,2.0,0,3,63,23
13075200.0,2,1.0,8279.569892473119,107526.8817204301,1.0,0,3,82,82
43874560.0,4,3.0,21075.2688172043,53763.44086021505,1.0,0,5,49,49
37046400.0,3,2.0,18064.516129032258,86881.72043010753,1.0,0,3,28,28
88984000.0,4,4.5,58279.56989247312,1096021.505376344,1.0,0,3,13,13
18704800.0,3,2.25,18440.860215053763,73322.58064516129,2.0,0,3,19,19
21199984.0,3,1.5,11397.849462365592,104419.35483870968,1.0,0,3,52,52
16670880.0,3,1.0,19139.78494623656,80322.58064516129,1.0,0,3,55,55
23462720.0,3,2.5,20322.58064516129,70537.63440860216,2.0,0,3,12,12
48124000.0,3,2.5,38279.56989247312,105333.33333333333,1.0,0,3,50,50
33995520.0,2,1.0,12473.118279569893,64516.12903225807,1.0,0,4,72,72
22518400.0,3,1.0,15376.344086021505,213989.24731182796,1.5,0,4,87,87
29056000.0,3,1.75,14731.182795698925,104086.02150537634,1.0,0,4,37,37
38499200.0,5,2.0,19462.36559139785,52150.5376344086,1.5,0,3,115,115
47216000.0,4,3.0,31720.43010752688,53763.44086021505,2.0,3,3,36,36
28692800.0,3,2.0,20322.58064516129,150967.74193548388,2.0,0,3,20,20
35230400.0,4,1.0,17204.301075268817,46236.55913978495,1.5,0,4,98,98
13728960.0,2,1.0,12903.225806451614,105913.97849462366,1.0,0,4,93,93
16707200.0,3,1.0,13440.860215053763,105096.7741935484,1.0,0,4,46,46
27966400.0,4,1.75,17419.354838709678,53548.3870967742,1.0,0,4,67,67
20702400.0,5,2.5,24408.602150537634,67741.93548387097,2.0,0,3,19,19
18356128.0,2,1.5,11505.376344086022,103688.17204301075,1.0,0,3,29,29
23898560.0,3,2.25,26344.086021505376,69892.47311827957,2.0,0,4,29,29
16925120.0,3,2.0,18387.09677419355,50505.37634408602,1.5,0,5,73,73
68063680.0,3,1.75,26344.086021505376,28935.483870967742,2.0,0,3,99,99
48450880.0,3,1.0,15053.763440860215,17000.0,1.5,0,5,105,105
31816320.0,3,1.75,16344.086021505376,68602.15053763441,1.0,0,3,66,66
52228160.0,4,2.5,27634.40860215054,77129.03225806452,2.0,0,3,10,10
42167520.0,3,2.5,24946.236559139787,42795.69892473119,2.0,0,3,11,11
20339200.0,2,1.5,12795.698924731183,13602.150537634408,3.0,0,3,9,9
49940000.0,4,1.75,25053.763440860213,53763.44086021505,1.5,0,4,85,85
38862400.0,3,1.0,11720.430107526881,32258.064516129034,1.5,0,4,85,85
23426400.0,4,2.75,22150.537634408603,71602.15053763441,1.0,0,3,33,33
50557440.0,3,2.5,24731.182795698925,32903.22580645161,1.5,0,3,84,12
39952000.0,4,1.0,17849.462365591397,374709.67741935485,1.0,0,1,81,81
46489600.0,4,2.0,25376.344086021505,64516.12903225807,2.0,0,4,110,110
17433600.0,4,1.0,13118.279569892473,86827.95698924731,1.0,0,2,46,46
43947200.0,4,2.5,28172.043010752688,81215.05376344085,2.0,0,3,18,18
45400000.0,4,2.5,27634.40860215054,59354.83870967742,2.0,0,3,14,14
56296000.0,4,2.25,45376.344086021505,260064.51612903227,1.0,0,3,30,30
62614953.6,5,2.75,38655.913978494624,60634.408602150535,2.0,0,3,0,0
49758400.0,3,1.0,16881.720430107525,24516.129032258064,2.0,0,3,92,92
22445760.0,3,1.0,13763.440860215054,103827.95698924731,1.0,0,4,55,55
35448320.0,3,2.5,33978.49462365591,146268.81720430107,2.0,0,3,11,11
15289993.6,3,1.0,10645.161290322581,91698.9247311828,1.0,0,3,49,49
57022400.0,4,2.5,24623.655913978495,144258.06451612903,2.0,0,4,33,33
32688000.0,3,1.75,13440.860215053763,64118.279569892475,1.0,0,4,62,62
98064000.0,3,2.5,29602.15053763441,698978.4946236559,1.0,2,5,62,62
16561920.0,3,1.0,12795.698924731183,98913.97849462366,1.0,0,3,59,59
25060800.0,5,2.5,33870.967741935485,98215.05376344085,1.0,0,4,49,49
43584000.0,3,1.75,15161.290322580646,43870.967741935485,1.0,0,4,64,64
42494400.0,2,1.75,21290.322580645163,91935.48387096774,1.0,0,3,34,34
66828800.0,5,2.25,29354.83870967742,64516.12903225807,1.5,0,3,88,88
